raw_id,cluster_index,merge_type,ID,survived
24253,1156,merged,1125.0,True
8677,1236,merged,1199.0,True
36935,656,merged,647.0,True
41195,872,merged,857.0,True
23556,1106,merged,1076.0,True
24111,1147,merged,1116.0,True
23598,285,merged,285.0,True
11814,1097,merged,1068.0,True
38124,680,merged,671.0,True
31527,1049,merged,1021.0,True
35819,720,merged,711.0,True
21148,342,merged,342.0,True
38818,680,merged,671.0,True
36875,768,merged,756.0,True
9336,1145,merged,1114.0,True
40790,509,merged,506.0,True
12554,826,merged,813.0,True
40162,598,merged,592.0,True
15781,267,merged,268.0,True
8786,854,merged,841.0,True
40451,517,merged,513.0,True
23328,1054,merged,1026.0,True
9626,562,merged,557.0,True
19774,1099,merged,1070.0,True
3749,365,merged,365.0,True
27434,511,merged,508.0,True
28027,1091,merged,1062.0,True
23726,285,merged,285.0,True
21683,265,merged,266.0,True
10159,286,merged,286.0,True
37200,849,merged,836.0,True
26641,166,merged,167.0,True
12832,226,merged,227.0,True
11083,1254,seed,1215.0,True
33919,404,merged,404.0,True
22348,928,merged,910.0,True
32710,1038,merged,1012.0,True
29253,594,merged,589.0,True
26105,1208,merged,1174.0,True
18290,1170,merged,1138.0,True
39913,517,merged,513.0,True
37695,567,merged,562.0,True
31640,264,merged,265.0,True
19547,147,merged,148.0,True
29432,627,merged,620.0,True
20072,157,merged,158.0,True
35139,1084,merged,1055.0,True
24311,466,merged,465.0,True
27174,1255,seed,1216.0,True
23622,1014,merged,989.0,True
7639,169,merged,170.0,True
6647,749,merged,739.0,True
37448,517,merged,513.0,True
33500,700,merged,691.0,True
27130,1208,merged,1174.0,True
28161,594,merged,589.0,True
24844,525,merged,521.0,True
8787,854,merged,841.0,True
24433,166,merged,167.0,True
41278,1071,merged,1042.0,True
8433,363,merged,363.0,True
18817,487,merged,485.0,True
34428,320,merged,320.0,True
937,1176,merged,1144.0,True
26031,1212,merged,1178.0,True
7385,169,merged,170.0,True
38352,598,merged,592.0,True
31387,264,merged,265.0,True
26736,651,merged,642.0,True
30606,1078,merged,1049.0,True
35278,1001,merged,978.0,True
39433,1135,merged,1105.0,True
9260,834,merged,821.0,True
28353,408,merged,408.0,True
23750,1014,merged,989.0,True
29702,483,merged,481.0,True
8597,191,merged,192.0,True
9621,1249,merged,1210.0,True
8694,1256,seed,1217.0,True
30667,819,merged,807.0,True
23224,1156,merged,1125.0,True
37189,1033,merged,1007.0,True
8292,1257,seed,,False
5236,1034,merged,1008.0,True
10021,286,merged,286.0,True
25223,525,merged,521.0,True
8805,182,merged,183.0,True
39578,517,merged,513.0,True
12339,721,merged,712.0,True
22460,175,merged,176.0,True
11519,262,merged,263.0,True
25081,511,merged,508.0,True
38701,1033,merged,1007.0,True
31109,1021,merged,996.0,True
24595,423,merged,423.0,True
36054,568,merged,563.0,True
14872,1022,merged,997.0,True
12171,795,merged,783.0,True
33023,592,merged,587.0,True
39364,1150,merged,1119.0,True
13244,498,merged,496.0,True
32421,1247,merged,1208.0,True
8952,201,merged,202.0,True
39487,1033,merged,1007.0,True
17165,577,merged,572.0,True
5676,793,merged,781.0,True
38838,1209,merged,1175.0,True
27956,1063,merged,1035.0,True
10441,367,merged,367.0,True
35963,1258,seed,1218.0,True
19805,1039,merged,1013.0,True
38421,955,merged,935.0,True
8307,607,merged,601.0,True
39624,1209,merged,1175.0,True
33480,404,merged,404.0,True
26642,870,merged,855.0,True
33768,1084,merged,1055.0,True
5494,1199,merged,1165.0,True
7884,1089,merged,1060.0,True
32196,803,merged,791.0,True
21822,342,merged,342.0,True
734,398,merged,398.0,True
29766,465,merged,464.0,True
8979,191,merged,192.0,True
38958,1071,merged,1042.0,True
33395,717,merged,708.0,True
10573,286,merged,286.0,True
4350,403,merged,403.0,True
27748,1091,merged,1062.0,True
4929,60,merged,61.0,True
19548,538,merged,533.0,True
12036,795,merged,783.0,True
33523,320,merged,320.0,True
22622,1005,merged,982.0,True
35936,568,merged,563.0,True
8473,569,merged,564.0,True
29164,627,merged,620.0,True
8078,118,merged,119.0,True
40934,467,merged,466.0,True
5597,935,merged,917.0,True
3401,240,merged,241.0,True
40814,753,merged,743.0,True
20639,966,merged,946.0,True
32789,328,merged,328.0,True
4155,289,merged,289.0,True
19452,1259,seed,1219.0,True
36377,1084,merged,1055.0,True
31049,801,merged,789.0,True
25345,525,merged,521.0,True
16295,1027,merged,1002.0,True
9627,599,merged,593.0,True
16831,799,merged,787.0,True
20307,871,merged,856.0,True
1318,1240,merged,1202.0,True
39288,1209,merged,1175.0,True
36325,979,merged,958.0,True
40655,1044,merged,1017.0,True
35498,1029,merged,1003.0,True
38299,1135,merged,1105.0,True
37683,678,merged,669.0,True
31818,1021,merged,996.0,True
21430,427,merged,427.0,True
39568,1044,merged,1017.0,True
40284,1209,merged,1175.0,True
20448,1117,merged,1087.0,True
