ID,RA,Dec,z_peak,significance,delta,delta_candidate,best_scale_mpc,n_member_scale_mpc,n_member_z_cen,det_unique_slices,z_min_det,z_max_det,z_range,scales_hit,n_members,n_member_RA,n_member_Dec,n_slice_total,background_area_deg2,rho_aper_mpc2,rho_bg_mpc2,aperture_area_mpc2,aperture_area_effective_deg2,aperture_area_full_mpc2,background_area_mpc2
19,149.936562,2.381513,0.66,3.695,7.019,0.198,1.2,1.2,0.63,7,0.6,0.66,0.60-0.66,0.4|0.8|1.2,1518,149.952674,2.362416,41145,0.5225,146.89645756681924,122.63871006030467,10.333809440636122,0.016093750000000004,10.178760197630927,335.4976579561863
20,150.038368,2.294843,0.67,3.682,6.76,0.245,1.2,1.2,0.67,9,0.65,0.73,0.65-0.73,0.4|0.8|1.2,1424,150.038368,2.294843,39428,0.5225,138.82418349802333,111.49755703976061,10.257578788642945,0.015156250000000003,10.178760197630927,353.62209762084535
21,150.056962,2.572333,0.7,3.665,6.738,0.25,1.2,1.2,0.7,13,0.64,0.76,0.64-0.76,0.4|0.8|1.2,1377,150.056962,2.572333,42344,0.5225,144.4531403184686,115.56808372405158,9.532503045376494,0.013593750000000003,10.178760197630927,366.39873774412627
22,149.943491,2.353668,0.8,3.616,7.159,0.516,1.2,1.2,0.8,7,0.8,0.87,0.80-0.87,0.4|0.8|1.2,1180,149.943491,2.353668,31359,0.5225,117.65422145339677,77.60675701388698,10.029389387166205,0.012968750000000003,10.178760197630927,404.0756398877563
23,149.899513,2.13736,0.13,3.605,13.893,-0.059,1.2,1.2,0.13,9,0.09,0.17,0.09-0.17,0.4|0.8|1.2,5127,149.899513,2.13736,22698,0.5225,549.8040486168397,584.4959204443114,9.325140498506993,0.12546875000000002,10.178760197630927,38.833461802001715
24,150.257674,2.05616,0.77,3.603,6.711,0.244,1.2,1.2,0.7,15,0.7,0.84,0.70-0.84,0.4|0.8|1.2,1386,150.241126,2.075393,42344,0.5225,143.74503668945653,115.56808372405158,9.642072045898061,0.013750000000000002,10.178760197630927,366.39873774412627
25,150.073236,2.503449,0.19,3.598,15.385,0.138,1.2,1.2,0.19,5,0.19,0.23,0.19-0.23,0.4|0.8|1.2,2728,150.073236,2.503449,18650,0.5225,292.3853798945379,257.03502685076165,9.33015187347595,0.06718750000000001,10.178760197630927,72.55820433698504
26,150.261247,2.070289,0.89,3.583,6.575,0.419,1.2,1.2,0.89,12,0.85,0.96,0.85-0.96,0.4|0.8|1.2,1142,150.261247,2.070289,34070,0.5225,111.92503203746699,78.88493636819365,10.203258191766384,0.012343750000000002,10.178760197630927,431.89487839578203
27,150.058683,2.26943,0.23,3.571,16.766,0.114,1.2,1.2,0.23,9,0.19,0.27,0.19-0.27,0.4|0.8|1.2,1697,150.058683,2.26943,14982,0.5225,171.20644926330132,153.6811915083305,9.912009782938462,0.05312500000000001,10.178760197630927,97.48753151219472
28,150.372818,2.137793,0.86,3.567,6.833,0.411,1.2,1.2,0.88,15,0.79,0.93,0.79-0.93,0.4|0.8|1.2,1132,150.37782,2.14122,33523,0.5225,110.27892447346613,78.12907639280111,10.264880668766107,0.012500000000000002,10.178760197630927,429.0720119544232
