N,sigma_NMAD,outlier_fraction,bias,direction,sample_role
1004157,0.0358392196148633,0.0423459678118063,-0.0048741698265075,train_A_predict_B,internal_holdout
1824507,0.0498530758917331,0.0637202268886882,-0.0015789520693942,train_A_predict_B,cross_target
912254,0.0393174273520708,0.0589057433565651,-9.902333840727806e-05,train_B_predict_A,internal_holdout
2008314,0.0510607540607452,0.052047637968963,0.0008863992406986,train_B_predict_A,cross_target
