n_members_threshold,candidates_kept,matched_true_clusters,match_rate,participating_candidates,purity_proxy,candidate_density,matched_pairs,median_distance_mpc_h,median_abs_dz,field_id,i_limit,total_covered_true_clusters,total_candidates_at_i22,candidate_csv,match_csv
13,2542,468,0.7005988023952096,906,0.35641227380015733,3.805389221556886,1255,1.0212057908807424,0.0381367545412979,1,22.0,668,7138,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/field01_i_lt_22p0/blind_search/COSMOS_Web_PPM_Candidates_v1_0.csv,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field01_i_lt_22p0/field01_crossmatch_matches.csv
14,2409,460,0.688622754491018,863,0.35823993358239936,3.606287425149701,1194,1.0190468301176194,0.0388184285409977,1,22.0,668,7138,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/field01_i_lt_22p0/blind_search/COSMOS_Web_PPM_Candidates_v1_0.csv,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field01_i_lt_22p0/field01_crossmatch_matches.csv
15,2298,449,0.6721556886227545,826,0.35944299390774587,3.440119760479042,1142,1.0138598298756247,0.03892319692046965,1,22.0,668,7138,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/field01_i_lt_22p0/blind_search/COSMOS_Web_PPM_Candidates_v1_0.csv,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field01_i_lt_22p0/field01_crossmatch_matches.csv
16,2208,441,0.6601796407185628,799,0.36186594202898553,3.305389221556886,1110,1.0138598298756247,0.03900800721067545,1,22.0,668,7138,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/field01_i_lt_22p0/blind_search/COSMOS_Web_PPM_Candidates_v1_0.csv,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field01_i_lt_22p0/field01_crossmatch_matches.csv
17,2097,433,0.6482035928143712,766,0.3652837386742966,3.1392215568862274,1070,1.0125460707898628,0.03900800721067545,1,22.0,668,7138,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/field01_i_lt_22p0/blind_search/COSMOS_Web_PPM_Candidates_v1_0.csv,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field01_i_lt_22p0/field01_crossmatch_matches.csv
18,2024,426,0.6377245508982036,739,0.3651185770750988,3.029940119760479,1027,1.006421771091882,0.0389893425528901,1,22.0,668,7138,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/field01_i_lt_22p0/blind_search/COSMOS_Web_PPM_Candidates_v1_0.csv,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field01_i_lt_22p0/field01_crossmatch_matches.csv
19,1941,417,0.624251497005988,713,0.3673364245234415,2.905688622754491,985,1.0032756769813778,0.0389893425528901,1,22.0,668,7138,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/field01_i_lt_22p0/blind_search/COSMOS_Web_PPM_Candidates_v1_0.csv,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field01_i_lt_22p0/field01_crossmatch_matches.csv
20,1868,413,0.6182634730538922,693,0.37098501070663814,2.7964071856287425,959,1.0049844682298277,0.0390266718684608,1,22.0,668,7138,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/field01_i_lt_22p0/blind_search/COSMOS_Web_PPM_Candidates_v1_0.csv,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field01_i_lt_22p0/field01_crossmatch_matches.csv
21,1793,403,0.6032934131736527,667,0.37200223089793644,2.684131736526946,926,1.005217258574234,0.0391011595294116,1,22.0,668,7138,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/field01_i_lt_22p0/blind_search/COSMOS_Web_PPM_Candidates_v1_0.csv,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field01_i_lt_22p0/field01_crossmatch_matches.csv
22,1734,395,0.5913173652694611,648,0.3737024221453287,2.595808383233533,904,1.0037457589188454,0.03892319692046965,1,22.0,668,7138,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/field01_i_lt_22p0/blind_search/COSMOS_Web_PPM_Candidates_v1_0.csv,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field01_i_lt_22p0/field01_crossmatch_matches.csv
