field_id,i_limit,input_rows_total,input_rows_kept,covered_true_clusters,candidates,matched_true_clusters,match_rate,participating_candidates,purity_proxy,candidate_density,matched_pairs,median_distance_mpc_h,median_abs_dz,match_csv,covered_cluster_csv,candidate_csv,input_fits
2,23.5,787461.0,597009,939,11872,904,0.9627263045793397,2680,0.22574123989218328,12.643237486687966,3446,1.0077240122068356,0.042776696257277314,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field02_i_lt_23p5/field02_crossmatch_matches.csv,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field02_i_lt_23p5/field02_true_clusters_covered_tight.csv,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/field02_i_lt_23p5/blind_search/COSMOS_Web_PPM_Candidates_v1_0.csv,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/inputs/field02/csst_field_02_full7band_i_lt_23p5_blindsearch_input.fits
2,24.0,787461.0,704661,939,11918,903,0.9616613418530351,2690,0.225709011579124,12.692225772097977,3444,1.0140712759135826,0.04253505869454305,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field02_i_lt_24p0/field02_crossmatch_matches.csv,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field02_i_lt_24p0/field02_true_clusters_covered_tight.csv,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/field02_i_lt_24p0/blind_search/COSMOS_Web_PPM_Candidates_v1_0.csv,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/inputs/field02/csst_field_02_full7band_i_lt_24p0_blindsearch_input.fits
3,21.5,396902.0,71585,546,5582,503,0.9212454212454212,1478,0.2647796488713723,10.223443223443223,1905,1.0224216576447078,0.04270237734863733,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field03_i_lt_21p5/field03_crossmatch_matches.csv,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field03_i_lt_21p5/field03_true_clusters_covered_tight.csv,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/field03_i_lt_21p5/blind_search/COSMOS_Web_PPM_Candidates_v1_0.csv,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/inputs/field03/csst_field_03_full7band_i_lt_21p5_blindsearch_input.fits
3,22.0,396902.0,106868,546,6638,517,0.9468864468864469,1580,0.2380235010545345,12.157509157509157,2026,1.0026369074032901,0.04346641717434546,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field03_i_lt_22p0/field03_crossmatch_matches.csv,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field03_i_lt_22p0/field03_true_clusters_covered_tight.csv,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/field03_i_lt_22p0/blind_search/COSMOS_Web_PPM_Candidates_v1_0.csv,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/inputs/field03/csst_field_03_full7band_i_lt_22p0_blindsearch_input.fits
3,22.5,396902.0,155050,546,7511,524,0.9597069597069597,1666,0.22180801491146318,13.756410256410257,2121,1.0333991425737064,0.04277234688724396,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field03_i_lt_22p5/field03_crossmatch_matches.csv,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field03_i_lt_22p5/field03_true_clusters_covered_tight.csv,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/field03_i_lt_22p5/blind_search/COSMOS_Web_PPM_Candidates_v1_0.csv,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/inputs/field03/csst_field_03_full7band_i_lt_22p5_blindsearch_input.fits
3,23.0,396902.0,222277,546,7915,523,0.9578754578754579,1706,0.21554011370814907,14.496336996336996,2165,1.0417399998829087,0.043450836098674506,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field03_i_lt_23p0/field03_crossmatch_matches.csv,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field03_i_lt_23p0/field03_true_clusters_covered_tight.csv,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/field03_i_lt_23p0/blind_search/COSMOS_Web_PPM_Candidates_v1_0.csv,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/inputs/field03/csst_field_03_full7band_i_lt_23p0_blindsearch_input.fits
3,23.5,396902.0,298039,546,8005,522,0.9560439560439561,1696,0.21186758276077453,14.66117216117216,2148,1.0251199321540778,0.04261948221872906,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field03_i_lt_23p5/field03_crossmatch_matches.csv,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field03_i_lt_23p5/field03_true_clusters_covered_tight.csv,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/field03_i_lt_23p5/blind_search/COSMOS_Web_PPM_Candidates_v1_0.csv,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/inputs/field03/csst_field_03_full7band_i_lt_23p5_blindsearch_input.fits
3,24.0,396902.0,353275,546,8050,519,0.9505494505494505,1706,0.21192546583850932,14.743589743589743,2168,1.0319961394705066,0.04347294580957606,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field03_i_lt_24p0/field03_crossmatch_matches.csv,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field03_i_lt_24p0/field03_true_clusters_covered_tight.csv,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/field03_i_lt_24p0/blind_search/COSMOS_Web_PPM_Candidates_v1_0.csv,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/inputs/field03/csst_field_03_full7band_i_lt_24p0_blindsearch_input.fits
4,21.5,1227448.0,238473,1377,11542,1295,0.9404502541757443,3289,0.2849592791543927,8.381989832970225,4501,1.031723754599972,0.04244487476333947,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field04_i_lt_21p5/field04_crossmatch_matches.csv,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field04_i_lt_21p5/field04_true_clusters_covered_tight.csv,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/field04_i_lt_21p5/blind_search/COSMOS_Web_PPM_Candidates_v1_0.csv,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/inputs/field04/csst_field_04_full7band_i_lt_21p5_blindsearch_input.fits
4,22.0,1227448.0,351164,1377,13690,1313,0.953522149600581,3483,0.2544192841490139,9.941902687000725,4776,1.0262522468694226,0.042969848519249065,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field04_i_lt_22p0/field04_crossmatch_matches.csv,/Users/dengcanze/Documents/CSST/Codex/result/full7band_i_cut_grid_crossmatch_all_fields_r1p5_tightcoverage/field04_i_lt_22p0/field04_true_clusters_covered_tight.csv,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/field04_i_lt_22p0/blind_search/COSMOS_Web_PPM_Candidates_v1_0.csv,/Users/dengcanze/Documents/CSST/Codex/result/blindsearch_grid_full7band_fields01_04_i_cuts_v11/inputs/field04/csst_field_04_full7band_i_lt_22p0_blindsearch_input.fits
