ID,RA,Dec,z_cen,significance,scale_mpc,det_unique_slices,z_min_det,z_max_det,z_peak,z_range,best_scale_mpc,delta,scales_hit,n_members,matched,match_status,comoving_distance_mpc
186,170.701553,-23.090321,0.96,1.35,0.4,15,0.89,1.03,0.96,0.89-1.03,1.2,4.08,0.4|0.8|1.2,170,True,matched,3205.390144758043
239,170.573685,-23.501829,0.76,1.282,0.4,15,0.69,0.83,0.76,0.69-0.83,1.2,4.238,0.4|0.8|1.2,163,False,unmatched,2676.900412409958
261,169.185501,-23.627312,0.54,1.252,0.4,13,0.48,0.6,0.54,0.48-0.60,1.2,4.575,0.4|0.8|1.2,166,True,matched,2017.9950639141682
355,170.501694,-23.703138,0.61,1.168,0.4,13,0.55,0.67,0.61,0.55-0.67,1.2,3.118,0.4|0.8|1.2,186,True,matched,2237.116139051666
359,170.294189,-22.595598,0.62,1.166,0.4,13,0.56,0.68,0.62,0.56-0.68,1.2,3.496,0.4|0.8|1.2,171,True,matched,2267.6785316410483
405,170.601089,-23.464266,0.64,1.137,0.4,11,0.58,0.68,0.64,0.58-0.68,1.2,3.1,0.4|0.8|1.2,188,True,matched,2328.257848857999
476,170.23584,-23.409063,0.6,1.098,0.4,13,0.54,0.66,0.6,0.54-0.66,1.2,2.983,0.4|0.8|1.2,236,True,matched,2206.3705696711404
520,169.476746,-23.205719,0.61,1.066,0.4,13,0.55,0.67,0.61,0.55-0.67,1.2,3.161,0.4|0.8|1.2,194,True,matched,2237.116139051666
565,170.296951,-22.597305,0.54,1.041,0.4,8,0.48,0.55,0.54,0.48-0.55,1.2,3.293,0.4|0.8|1.2,163,False,unmatched,2017.9950639141682
693,169.406799,-23.193602,0.6,0.983,0.4,11,0.54,0.66,0.6,0.54-0.66,1.2,2.844,0.4|0.8|1.2,168,True,matched,2206.3705696711404
707,170.233566,-23.638094,0.59,0.978,0.4,13,0.53,0.65,0.59,0.53-0.65,1.2,2.557,0.4|0.8|1.2,212,True,matched,2175.440820395628
809,171.168915,-22.880159,0.62,0.941,0.4,13,0.56,0.68,0.62,0.56-0.68,1.2,2.698,0.4|0.8|1.2,189,True,matched,2267.6785316410483
900,170.026962,-23.768652,0.55,0.919,0.4,13,0.49,0.61,0.55,0.49-0.61,1.2,2.71,0.4|0.8|1.2,193,True,matched,2049.860355707472
964,170.336014,-23.524527,0.56,0.902,0.4,13,0.5,0.62,0.56,0.50-0.62,1.2,2.427,0.4|0.8|1.2,225,True,matched,2081.5366286372155
1121,171.044983,-22.666931,0.66,0.869,0.4,13,0.6,0.72,0.66,0.60-0.72,1.2,2.55,0.4|0.8|1.2,174,True,matched,2388.1167369345444
1186,170.376038,-22.454788,0.61,0.852,0.4,13,0.55,0.67,0.61,0.55-0.67,1.2,2.448,0.4|0.8|1.2,184,True,matched,2237.116139051666
1229,168.956116,-22.731312,0.61,0.843,0.4,13,0.55,0.67,0.61,0.55-0.67,1.2,2.558,0.4|0.8|1.2,182,True,matched,2237.116139051666
1409,170.43277,-23.965923,0.33,0.808,0.4,11,0.28,0.38,0.33,0.28-0.38,1.2,4.126,0.4|0.8|1.2,163,True,matched,1303.6825529096675
1411,170.339523,-23.5292,0.49,0.808,0.4,6,0.44,0.49,0.49,0.44-0.49,1.2,2.671,0.4|0.8|1.2,189,True,matched,1855.8014180847283
1423,171.207047,-22.914047,0.55,0.806,0.4,7,0.49,0.55,0.55,0.49-0.55,1.2,2.364,0.4|0.8|1.2,185,False,unmatched,2049.860355707472
1427,169.850861,-22.32333,0.61,0.805,0.4,8,0.55,0.62,0.61,0.55-0.62,1.2,2.386,0.4|0.8|1.2,172,True,matched,2237.116139051666
1547,169.653763,-23.513813,0.45,0.787,0.4,11,0.4,0.5,0.45,0.40-0.50,1.2,3.15,0.4|0.8|1.2,175,True,matched,1722.5540087437778
1542,168.871811,-22.742195,0.61,0.787,0.4,13,0.55,0.67,0.61,0.55-0.67,1.2,2.452,0.4|0.8|1.2,186,True,matched,2237.116139051666
1610,170.601974,-22.51322,0.6,0.777,0.4,13,0.54,0.66,0.6,0.54-0.66,1.2,2.132,0.4|0.8|1.2,169,True,matched,2206.3705696711404
1689,170.257095,-22.569332,0.45,0.766,0.4,11,0.4,0.5,0.45,0.40-0.50,1.2,2.999,0.4|0.8|1.2,165,False,unmatched,1722.5540087437778
1704,169.580566,-23.459576,0.57,0.764,0.4,13,0.51,0.63,0.57,0.51-0.63,1.2,2.171,0.4|0.8|1.2,183,True,matched,2113.024824528737
1946,169.420547,-23.387285,0.58,0.733,0.4,13,0.52,0.64,0.58,0.52-0.64,1.2,2.063,0.4|0.8|1.2,185,True,matched,2144.325898937837
1971,170.198654,-23.658018,0.52,0.731,0.4,7,0.46,0.52,0.52,0.46-0.52,1.2,2.186,0.4|0.8|1.2,203,True,matched,1953.6937297423651
1986,170.226562,-23.55032,0.54,0.728,0.4,13,0.48,0.6,0.54,0.48-0.60,1.2,2.053,0.4|0.8|1.2,217,False,unmatched,2017.9950639141682
2027,169.775909,-22.236973,0.5,0.723,0.4,12,0.44,0.55,0.5,0.44-0.55,1.2,2.312,0.4|0.8|1.2,181,True,matched,1888.62539593342
2129,169.575562,-22.193291,0.6,0.712,0.4,13,0.54,0.66,0.6,0.54-0.66,1.2,2.024,0.4|0.8|1.2,202,False,unmatched,2206.3705696711404
2307,169.679596,-22.176291,0.48,0.693,0.4,11,0.43,0.53,0.48,0.43-0.53,1.2,2.315,0.4|0.8|1.2,183,True,matched,1822.7831032574256
2310,169.714935,-24.113531,0.29,0.693,0.4,11,0.24,0.34,0.29,0.24-0.34,1.2,3.733,0.4|0.8|1.2,163,True,matched,1157.5576112470376
2321,170.246201,-23.361494,0.53,0.692,0.4,12,0.47,0.59,0.53,0.47-0.59,1.2,2.173,0.4|0.8|1.2,170,True,matched,1985.9398259352438
2396,169.411835,-22.138735,0.5,0.682,0.4,12,0.44,0.55,0.5,0.44-0.55,1.2,2.152,0.4|0.8|1.2,164,False,unmatched,1888.62539593342
