ID,RA,Dec,z_cen,significance,scale_mpc,det_unique_slices,z_min_det,z_max_det,z_peak,z_range,best_scale_mpc,delta,scales_hit,n_members,matched,match_status,comoving_distance_mpc
2465,170.624924,-23.456995,0.57,0.677,0.4,11,0.51,0.63,0.57,0.51-0.63,1.2,1.874,0.4|0.8|1.2,171,True,matched,2113.024824528737
2567,170.471542,-22.415955,0.61,0.668,0.4,9,0.58,0.66,0.61,0.58-0.66,1.2,1.891,0.4|0.8|1.2,190,True,matched,2237.116139051666
2921,169.406372,-23.538179,0.61,0.638,0.4,13,0.55,0.67,0.61,0.55-0.67,1.2,1.843,0.4|0.8|1.2,166,False,unmatched,2237.116139051666
3200,169.221283,-23.198408,0.29,0.616,0.4,11,0.24,0.34,0.29,0.24-0.34,1.2,2.946,0.4|0.8|1.2,169,True,matched,1157.5576112470376
3195,168.963608,-22.693949,0.53,0.616,0.4,8,0.47,0.54,0.53,0.47-0.54,1.2,1.898,0.4|0.8|1.2,171,True,matched,1985.9398259352438
3500,169.633881,-23.51453,0.51,0.595,0.4,8,0.45,0.57,0.51,0.45-0.57,1.2,1.916,0.4|0.8|1.2,172,True,matched,1921.2558794085778
4156,171.008636,-22.619421,0.59,0.551,1.2,11,0.55,0.65,0.59,0.55-0.65,1.2,2.123,0.4|0.8|1.2,165,True,matched,2175.440820395628
4556,170.885559,-22.828741,0.19,0.524,0.4,9,0.15,0.23,0.19,0.15-0.23,1.2,3.773,0.4|0.8|1.2,175,True,matched,777.8204466173712
4966,171.134598,-22.64089,0.1,0.5,0.4,9,0.06,0.14,0.1,0.06-0.14,1.2,7.443,0.4|0.8|1.2,190,True,matched,418.4544876277049
5602,170.864395,-22.778486,0.14,0.462,1.2,9,0.1,0.18,0.14,0.10-0.18,1.2,5.646,0.4|0.8|1.2,169,True,matched,580.2189723488522
7759,170.841751,-22.58493,0.08,0.351,0.4,9,0.04,0.12,0.08,0.04-0.12,1.2,6.455,0.4|0.8|1.2,179,True,matched,336.3559499546492
7827,171.120865,-22.645224,0.05,0.347,0.8,7,0.01,0.08,0.05,0.01-0.08,1.2,9.203,0.4|0.8|1.2,209,True,matched,211.7038615805877
9602,170.781113,-22.828314,0.03,0.26,0.4,2,0.01,0.03,0.03,0.01-0.03,0.8,8.139,0.4|0.8,192,True,matched,127.60978725154379
9726,171.018036,-23.289663,0.07,0.254,0.8,8,0.03,0.11,0.07,0.03-0.11,1.2,5.357,0.4|0.8|1.2,184,True,matched,295.00501053001346
9887,170.214722,-22.986404,0.01,0.245,1.2,2,0.0,0.01,0.01,0.00-0.01,1.2,11.847,0.4|0.8|1.2,274,True,matched,42.7309258137925
