ID,RA,Dec,z_cen,significance,scale_mpc,det_unique_slices,z_min_det,z_max_det,z_peak,z_range,best_scale_mpc,delta,scales_hit,n_members,matched,match_status,comoving_distance_mpc
8216,302.203857,-59.566841,0.16,0.441,0.4,6,0.12,0.17,0.16,0.12-0.17,1.2,5.784,0.4|0.8|1.2,109,True,matched,659.8759292968958
8492,298.131439,-60.914795,0.07,0.433,0.4,2,0.06,0.07,0.07,0.06-0.07,1.2,11.33,0.4|0.8|1.2,108,True,matched,295.00501053001346
8956,298.990601,-59.489632,0.2,0.418,0.4,8,0.17,0.24,0.2,0.17-0.24,1.2,3.914,0.4|0.8|1.2,94,True,matched,816.7232390546322
9560,300.679962,-59.09042,0.13,0.4,0.4,3,0.12,0.14,0.13,0.12-0.14,1.2,5.452,0.4|0.8|1.2,97,False,unmatched,540.0834322456174
10336,299.861603,-59.608227,0.11,0.378,0.4,2,0.1,0.11,0.11,0.10-0.11,1.2,5.286,0.4|0.8|1.2,97,True,matched,459.2006284992677
10655,300.886078,-58.945976,0.03,0.368,0.8,5,0.03,0.07,0.03,0.03-0.07,1.2,11.79,0.4|0.8|1.2,123,True,matched,127.60978725154379
11551,302.327698,-59.26207,0.11,0.345,0.4,6,0.1,0.15,0.11,0.10-0.15,1.2,5.484,0.4|0.8|1.2,107,True,matched,459.2006284992677
11589,302.136932,-59.566303,0.11,0.344,0.8,4,0.1,0.14,0.11,0.10-0.14,1.2,5.775,0.4|0.8|1.2,122,True,matched,459.2006284992677
14251,298.47821,-60.900803,0.09,0.278,0.4,6,0.07,0.12,0.09,0.07-0.12,1.2,6.15,0.4|0.8|1.2,115,True,matched,377.5060279879149
14718,298.815063,-60.68248,0.11,0.266,0.4,5,0.1,0.14,0.11,0.10-0.14,1.2,4.399,0.4|0.8|1.2,67,True,matched,459.2006284992677
