ID,RA,Dec,z_cen,significance,scale_mpc,det_unique_slices,z_min_det,z_max_det,z_peak,z_range,best_scale_mpc,delta,scales_hit,n_members,matched,match_status,comoving_distance_mpc
76,238.283539,29.755999,0.66,1.56,0.4,13,0.6,0.72,0.66,0.60-0.72,1.2,5.589,0.4|0.8|1.2,182,True,matched,2388.1167369345444
136,238.325211,29.728315,0.59,1.404,0.4,7,0.53,0.59,0.59,0.53-0.59,1.2,4.95,0.4|0.8|1.2,172,True,matched,2175.440820395628
383,240.331528,28.715166,0.66,1.134,0.4,13,0.6,0.72,0.66,0.60-0.72,1.2,3.4,0.4|0.8|1.2,196,True,matched,2388.1167369345444
471,238.643661,29.29488,0.58,1.084,0.4,13,0.52,0.64,0.58,0.52-0.64,1.2,3.444,0.4|0.8|1.2,172,True,matched,2144.325898937837
493,241.566696,29.813768,0.61,1.076,0.4,13,0.55,0.67,0.61,0.55-0.67,1.2,3.169,0.4|0.8|1.2,202,True,matched,2237.116139051666
518,240.207245,28.810366,0.7,1.065,0.4,13,0.64,0.76,0.7,0.64-0.76,1.2,3.277,0.4|0.8|1.2,186,False,unmatched,2505.7067244068617
615,239.625656,30.684801,0.6,1.027,0.4,13,0.54,0.66,0.6,0.54-0.66,1.2,2.917,0.4|0.8|1.2,230,True,matched,2206.3705696711404
622,240.667282,28.847006,0.66,1.023,0.4,13,0.6,0.72,0.66,0.60-0.72,1.2,3.437,0.4|0.8|1.2,175,True,matched,2388.1167369345444
678,240.747299,28.8388,0.51,1.004,0.4,13,0.45,0.57,0.51,0.45-0.57,1.2,3.385,0.4|0.8|1.2,214,True,matched,1921.2558794085778
697,240.014755,28.944052,0.67,0.998,0.4,13,0.61,0.73,0.67,0.61-0.73,1.2,2.662,0.4|0.8|1.2,236,True,matched,2417.778623816491
698,241.030258,31.137533,0.59,0.997,0.4,12,0.53,0.65,0.59,0.53-0.65,1.2,2.964,0.4|0.8|1.2,181,True,matched,2175.440820395628
739,240.393982,28.803871,0.63,0.982,0.4,13,0.57,0.69,0.63,0.57-0.69,1.2,2.725,0.4|0.8|1.2,211,True,matched,2298.0587606756208
742,239.087448,30.838512,0.4,0.98,0.4,11,0.35,0.45,0.4,0.35-0.45,1.2,3.6,0.4|0.8|1.2,225,False,unmatched,1551.5461950979236
754,240.663925,28.835564,0.59,0.977,0.4,9,0.53,0.65,0.59,0.53-0.65,1.2,2.986,0.4|0.8|1.2,191,True,matched,2175.440820395628
771,240.717041,29.874424,0.68,0.972,0.4,13,0.62,0.74,0.68,0.62-0.74,1.2,2.59,0.4|0.8|1.2,186,True,matched,2447.263542612278
