ID,RA,Dec,z_cen,significance,scale_mpc,det_unique_slices,z_min_det,z_max_det,z_peak,z_range,best_scale_mpc,delta,scales_hit,n_members,matched,match_status,comoving_distance_mpc
1075,240.731064,30.364737,0.63,0.9,0.4,13,0.57,0.69,0.63,0.57-0.69,1.2,2.436,0.4|0.8|1.2,170,False,unmatched,2298.0587606756208
1130,239.620636,29.044678,0.53,0.888,0.4,13,0.47,0.59,0.53,0.47-0.59,1.2,2.407,0.4|0.8|1.2,233,True,matched,1985.9398259352438
1207,239.739334,30.948013,0.45,0.874,0.4,11,0.4,0.5,0.45,0.40-0.50,1.2,2.816,0.4|0.8|1.2,174,True,matched,1722.5540087437778
1273,240.960938,29.919926,0.6,0.863,0.4,13,0.54,0.66,0.6,0.54-0.66,1.2,2.089,0.4|0.8|1.2,185,True,matched,2206.3705696711404
1442,241.51442,29.745609,0.6,0.836,0.4,13,0.54,0.66,0.6,0.54-0.66,1.2,2.428,0.4|0.8|1.2,168,True,matched,2206.3705696711404
1491,240.322067,28.931767,0.57,0.828,0.4,13,0.51,0.63,0.57,0.51-0.63,1.2,2.212,0.4|0.8|1.2,177,True,matched,2113.024824528737
1625,241.208893,29.619589,0.57,0.81,0.4,13,0.51,0.63,0.57,0.51-0.63,1.2,2.146,0.4|0.8|1.2,168,True,matched,2113.024824528737
1670,240.380951,28.855417,0.56,0.803,0.4,7,0.5,0.56,0.56,0.50-0.56,1.2,2.241,0.4|0.8|1.2,186,True,matched,2081.5366286372155
1680,241.081696,29.774054,0.63,0.801,0.4,13,0.57,0.69,0.63,0.57-0.69,1.2,1.938,0.4|0.8|1.2,209,True,matched,2298.0587606756208
1713,240.058228,28.882463,0.61,0.797,0.4,13,0.55,0.67,0.61,0.55-0.67,1.2,2.044,0.4|0.8|1.2,196,True,matched,2237.116139051666
1721,240.694397,31.225945,0.51,0.796,0.4,13,0.45,0.57,0.51,0.45-0.57,1.2,2.521,0.4|0.8|1.2,185,True,matched,1921.2558794085778
1915,239.405487,28.993809,0.59,0.774,0.4,13,0.53,0.65,0.59,0.53-0.65,1.2,2.196,0.4|0.8|1.2,179,True,matched,2175.440820395628
1992,240.720032,29.874294,0.61,0.761,0.4,7,0.55,0.61,0.61,0.55-0.61,1.2,1.937,0.4|0.8|1.2,170,True,matched,2237.116139051666
2005,240.886307,31.221912,0.57,0.76,0.4,13,0.51,0.63,0.57,0.51-0.63,1.2,2.307,0.4|0.8|1.2,181,True,matched,2113.024824528737
2205,239.533524,28.912006,0.48,0.738,0.4,11,0.43,0.53,0.48,0.43-0.53,1.2,2.477,0.4|0.8|1.2,178,True,matched,1822.7831032574256
2225,240.887756,31.14921,0.57,0.737,0.8,13,0.51,0.63,0.57,0.51-0.63,1.2,2.557,0.4|0.8|1.2,213,True,matched,2113.024824528737
2323,239.668304,28.995361,0.64,0.726,0.4,12,0.59,0.7,0.64,0.59-0.70,1.2,1.949,0.4|0.8|1.2,205,True,matched,2328.257848857999
2338,239.855942,31.233139,0.37,0.724,0.4,11,0.32,0.42,0.37,0.32-0.42,1.2,2.944,0.4|0.8|1.2,175,True,matched,1446.535764619144
2525,241.279266,30.788713,0.56,0.706,0.4,13,0.5,0.62,0.56,0.50-0.62,1.2,2.073,0.4|0.8|1.2,170,False,unmatched,2081.5366286372155
2709,241.354218,30.545082,0.55,0.691,0.4,13,0.49,0.61,0.55,0.49-0.61,1.2,2.032,0.4|0.8|1.2,171,True,matched,2049.860355707472
2705,239.139542,30.874273,0.33,0.691,0.4,9,0.28,0.38,0.33,0.28-0.38,1.2,2.751,0.4|0.8|1.2,199,True,matched,1303.6825529096675
2773,239.043915,30.519907,0.37,0.684,0.4,11,0.32,0.42,0.37,0.32-0.42,1.2,2.392,0.4|0.8|1.2,205,True,matched,1446.535764619144
2898,240.73465,29.79357,0.59,0.672,0.4,11,0.53,0.65,0.59,0.53-0.65,1.2,1.718,0.4|1.2,193,True,matched,2175.440820395628
3058,240.847458,29.731619,0.56,0.658,0.4,13,0.5,0.62,0.56,0.50-0.62,1.2,1.697,0.4|0.8|1.2,195,True,matched,2081.5366286372155
3237,239.267273,29.496935,0.51,0.645,0.4,13,0.45,0.57,0.51,0.45-0.57,1.2,1.876,0.4|0.8|1.2,186,True,matched,1921.2558794085778
3283,239.684753,29.094664,0.62,0.641,0.4,13,0.56,0.68,0.62,0.56-0.68,1.2,1.645,0.4|0.8|1.2,195,True,matched,2267.6785316410483
3501,240.466278,29.581783,0.52,0.625,0.4,13,0.46,0.58,0.52,0.46-0.58,1.2,1.752,0.4|0.8|1.2,178,True,matched,1953.6937297423651
4174,239.512009,30.334715,0.47,0.584,0.4,11,0.42,0.52,0.47,0.42-0.52,1.2,1.837,0.4|0.8|1.2,179,True,matched,1789.5696283483735
4344,239.106491,30.246416,0.33,0.575,0.4,11,0.28,0.38,0.33,0.28-0.38,1.2,2.106,0.4|0.8|1.2,177,True,matched,1303.6825529096675
5111,241.085876,29.786673,0.56,0.535,0.4,7,0.5,0.56,0.56,0.50-0.56,1.2,1.357,0.4|0.8|1.2,174,True,matched,2081.5366286372155
5265,239.500916,30.757584,0.51,0.527,0.4,13,0.45,0.57,0.51,0.45-0.57,1.2,1.517,0.4|0.8|1.2,170,True,matched,1921.2558794085778
6550,239.420425,30.255919,0.45,0.469,0.4,10,0.4,0.5,0.45,0.40-0.50,1.2,1.525,0.4|0.8|1.2,168,False,unmatched,1722.5540087437778
9260,240.192932,30.376678,0.07,0.363,0.8,8,0.04,0.11,0.07,0.04-0.11,1.2,5.898,0.4|0.8|1.2,261,True,matched,295.00501053001346
11116,240.395798,30.836784,0.11,0.303,1.2,9,0.07,0.15,0.11,0.07-0.15,1.2,3.637,0.4|0.8|1.2,220,True,matched,459.2006284992677
11496,240.557266,30.655394,0.06,0.291,0.8,9,0.02,0.1,0.06,0.02-0.10,1.2,5.576,0.4|0.8|1.2,205,True,matched,253.454023840369
12229,239.637131,30.12236,0.08,0.267,0.8,8,0.04,0.12,0.08,0.04-0.12,1.2,4.005,0.4|0.8|1.2,233,True,matched,336.3559499546492
12637,239.885529,30.125484,0.02,0.253,1.2,6,0.0,0.05,0.02,0.00-0.05,1.2,8.25,0.4|0.8|1.2,324,True,matched,85.26790962937666
